pdf,video,image,ppt,web,pdf_web,vid_img_ppt
3,4,4,0,0,3,8
4,7,7,0,0,4,14
3,3,5,2,0,3,10
3,3,5,3,3,6,11
3,3,5,2,6,9,10
3,3,5,2,0,3,10
3,3,5,1,0,3,9
2,3,6,1,0,2,10
3,6,0,2,0,3,8
4,6,5,3,10,14,14
3,3,5,2,0,3,10
6,4,5,2,5,11,11
3,3,6,2,0,3,11
4,4,6,2,0,4,12
3,3,5,2,4,7,10
3,7,3,1,6,9,11
4,3,5,1,3,7,9
3,2,0,2,0,3,4
2,2,5,1,0,2,8
3,0,0,0,1,4,0
1,3,0,0,4,5,3
3,2,1,0,0,3,3
2,3,5,2,3,5,10
3,5,0,6,0,3,11
3,2,0,2,0,3,4
4,0,5,0,0,4,5
3,3,4,1,3,6,8
3,2,6,2,3,6,10
2,0,4,2,0,2,6
3,0,6,2,0,3,8
3,3,5,2,1,4,10
3,3,5,2,3,6,10
