total,pdf_within_space,video_within_space,image_within_space,ppt_within_space,web_within_space
27.86282788,0.409227814,12.10786015,15.34573991,0,0
25.60809088,0.545637086,10.90992692,14.15252687,0,0
29.6571078,0.409227814,13.87910206,9.397083145,5.971694773,0
31.99187157,0.409227814,17.75351512,5.690908196,7.728992626,0.409227814
44.8317082,2.202944777,18.76385312,12.71637542,6.721079675,4.427455211
76.0601642,0.409227814,11.83512822,58.72319536,5.092612801,0
30.34253191,0.409227814,13.23559674,7.812137325,8.88557003,0
69.36199262,1.115091664,10.11810358,57.9923881,0.136409271,0
10.08151125,5.557833374,0.818455629,0,3.705222249,0
83.33333333,8.218247213,21.96094001,32.05739132,14.9518419,6.144912896
28.13789825,0.409227814,10.9603767,7.801311192,8.966982547,0
58.9692084,0.818455629,12.99594947,35.35866891,0.272818543,9.523315852
29.97630549,0.409227814,10.11810358,12.62760113,6.821372968,0
19.83174284,0.409227814,2.936047176,9.760841203,6.725626651,0
24.98281676,0.409227814,13.87910206,9.876031254,0.272818543,0.545637086
25.69028288,0.875271173,20.11820231,1.598023789,2.328311394,0.770474209
25.61229142,9.866504257,2.3618291,7.026766357,5.901194997,0.455996707
3.464449059,0.409227814,2.754168148,0,0.301053097,0
9.055843444,1.766824849,4.067161516,2.338444654,0.883412425,0
11.40901164,6.24970986,0,0,0,5.159301779
14.63346699,4.330453062,0.467688931,0,0,9.835324995
10.70011647,3.88874685,6.655473312,0.15589631,0,0
16.44316332,1.766824849,0.467688931,8.821132888,4.919827724,0.467688931
9.561640362,0.467688931,8.15857357,0,0.935377861,0
12.09616793,3.544042786,6.189429953,0,2.362695191,0
6.413704117,0.623585241,0,2.795740497,2.994378379,0
21.93461085,0.571619804,6.227191504,11.51900515,0.15589631,3.460898087
23.51176186,3.234848438,2.68661308,7.444048814,9.678562594,0.467688931
11.29174297,6.807472214,0,1.588063747,2.896207008,0
60.24959346,5.690215324,0,53.47676487,1.082613266,0
7.124461378,1.044505279,1.044505279,3.990945542,0.696336852,0.348168426
14.28876292,1.761628306,4.546975716,0.779481551,1.319922093,5.880755259
