pdf_web,vid_img_ppt,total
0,0,-5.82879480499496
1,0,-2.0817700240403
2,0,2.48349406815936
3,0,7.61246256992684
4,0,11.4190908719987
5,0,14.4243908854817
6,0,20.5198663465376
7,0,27.2740560863505
8,0,33.6395006061269
9,0,39.2186380743562
10,0,42.4688720959821
11,0,37.0664358941791
12,0,28.5526717996647
13,0,29.2789105296813
14,0,32.3514845256925
15,0,32.9850428059817
16,0,30.3831708044877
17,0,32.5654958630029
18,0,38.9628284799566
19,0,47.0473012438525
20,0,55.5140099273216
0,1,-5.29676088605124
1,1,-1.64904307465558
2,1,2.77622842532803
3,1,7.6568099472066
4,1,10.9428044702911
5,1,14.303324188216
6,1,20.7781524268688
7,1,27.8206496933187
8,1,34.4081437825899
9,1,39.2841944054345
10,1,37.0098517034458
11,1,27.995855534221
12,1,27.8931962688122
13,1,31.1894974373598
14,1,31.7431445340667
15,1,30.7677400257151
16,1,35.5268088385354
17,1,43.5935942085216
18,1,52.3024340805674
19,1,60.2214081804121
20,1,66.6283979778874
0,2,-4.62640112308742
1,2,-1.0594861407586
2,2,3.23384342595642
3,2,7.82890192835292
4,2,10.5974352425163
5,2,14.3549734675318
6,2,21.1263847974528
7,2,28.382398919231
8,2,34.6711602245837
9,2,35.5580926992125
10,2,27.3845128997625
11,2,26.4565810128832
12,2,30.2241571712888
13,2,31.2308708982073
14,2,32.7205229135968
15,2,39.7655327618817
16,2,48.5926670356786
17,2,56.7643227071027
18,2,63.4123048658555
19,2,68.497417454789
20,2,72.3468830343148
0,3,-3.8181779790407
1,3,-0.310806126642601
2,3,3.8646504998334
3,3,8.1444600487958
4,3,10.4609546824092
5,3,14.6560955107509
6,3,21.6780053842551
7,3,28.8812221808829
8,3,32.5779331255928
9,3,26.6197930643854
10,3,25.0698328181838
11,3,29.5864707300317
12,3,31.6716528014646
13,3,35.8567969173408
14,3,44.204310120948
15,3,52.6437708635601
16,3,59.6185018213725
17,3,65.0113414203182
18,3,69.1542007904027
19,3,72.4175694583561
20,3,75.0793312152911
0,4,-2.86387417445895
1,4,0.615089627454604
2,4,4.70584888047632
3,4,8.67468486912559
4,4,10.7125401301908
5,4,15.4582009323426
6,4,22.7153530184019
7,4,28.5353510200862
8,4,25.788593651462
9,4,23.9727927625107
10,4,29.2355178919542
11,4,32.6768676074206
12,4,38.930080779791
