navigationscore,mxwtime,spatialPresence
0,1,1.9153670587046
0.5,1,1.9153670587046
1,1,1.9153670587046
1.5,1,1.9153670587046
2,1,2.1733355655385
2.5,1,2.19876947742101
3,1,2.23820988713138
3.5,1,2.36999844041732
4,1,2.65320951446796
4.5,1,2.66211397968084
5,1,2.67575883949392
5.5,1,2.66090718543666
6,1,2.66090718543666
6.5,1,2.68703210413168
7,1,2.69273081352197
7.5,1,3.00947745213777
8,1,2.85026999033685
8.5,1,2.54286133979736
9,1,3.04818140608499
9.5,1,3.24647072396886
10,1,3.22735857443615
0,2,2.61542133479527
0.5,2,2.61542133479527
1,2,2.61542133479527
1.5,2,2.61542133479527
2,2,2.76490805783339
2.5,2,2.77316350954679
3,2,2.79201086157171
3.5,2,2.8865609013554
4,2,2.9326746085205
4.5,2,2.93477741225882
5,2,2.94287710073234
5.5,2,2.92871303011967
6,2,2.92871303011967
6.5,2,2.99267942976364
7,2,3.13457235252105
7.5,2,3.73880614557425
8,2,3.57968101577155
8.5,2,3.57071127834387
9,2,4.04569118421163
9.5,2,4.08626824992888
10,2,4.06715610039617
